people,name,xcoord,ycoord,petNum,petSum,peopleSum,index
3075.0,목동,944125,1949375,172.0601691390545,8072.0,144260,0.6473684210526316
2450.0,목동,944125,1949625,137.08859004575072,8072.0,144260,0.5157894736842105
3553.0,목동,944125,1949875,198.8064328296132,8072.0,144260,0.748
1045.0,목동,944125,1950125,58.47248024400388,8072.0,144260,0.22
,,944125,1950375,0.0,0.0,0,0.0
,,944375,1945125,0.0,0.0,0,0.0
,신정동,944375,1945375,0.0,9116.0,164700,0.0
0.0,신정동,944375,1945625,0.0,9116.0,164700,0.0
239.0,신정동,944375,1945875,13.228439587128111,9116.0,164700,0.04977139155075639
1175.0,신정동,944375,1946125,65.03521554341226,9116.0,164700,0.24469198774953455
1545.0,신정동,944375,1946375,85.51438979963571,9116.0,164700,0.3217439328281114
1815.0,신정동,944375,1946625,100.45865209471766,9116.0,164700,0.3779710278854512
839.0,신정동,944375,1946875,46.43791135397693,9116.0,164700,0.1747204916781783
2342.0,신정동,944375,1947125,129.62763812993322,9116.0,164700,0.48771798749737016
4750.0,목동,944375,1947375,265.78400110910854,8072.0,144260,1.0
2965.0,목동,944375,1947625,165.90517121863303,8072.0,144260,0.6242105263157895
1973.0,목동,944375,1947875,110.3982808817413,8072.0,144260,0.4153684210526316
868.0,목동,944375,1948125,48.568529044780256,8072.0,144260,0.18273684210526317
1747.0,목동,944375,1948375,97.75255788160266,8072.0,144260,0.3677894736842105
2336.0,목동,944375,1948625,130.7097740191321,8072.0,144260,0.4917894736842105
3606.0,목동,944375,1948875,201.77202273672532,8072.0,144260,0.759157894736842
2770.0,목동,944375,1949125,154.99403854152226,8072.0,144260,0.5831578947368421
2771.0,목동,944375,1949375,155.04999306807153,8072.0,144260,0.5833684210526315
2591.0,목동,944375,1949625,144.97817828920006,8072.0,144260,0.5454736842105263
1952.0,목동,944375,1949875,109.2232358242063,8072.0,144260,0.4109473684210527
,,944375,1950125,0.0,0.0,0,0.0
,신정동,944625,1945125,0.0,9116.0,164700,0.0
,신정동,944625,1945375,0.0,9116.0,164700,0.0
,신정동,944625,1945625,0.0,9116.0,164700,0.0
,신정동,944625,1945875,0.0,9116.0,164700,0.0
402.0,신정동,944625,1946125,22.250346083788703,9116.0,164700,0.08371589708537265
2553.0,신정동,944625,1946375,141.30630236794173,9116.0,164700,0.5316584210421802
2521.0,신정동,944625,1946625,139.53513054037643,9116.0,164700,0.5249944690353843
1948.0,신정동,944625,1946875,107.82008500303584,9116.0,164700,0.4056680784136965
2170.0,신정동,944625,1947125,120.10758955676988,9116.0,164700,0.45189924546084254
1854.0,목동,944625,1947375,103.73969222237626,8072.0,144260,0.3903157894736842
4514.0,목동,944625,1947625,252.57873284347704,8072.0,144260,0.9503157894736842
,목동,944625,1947875,0.0,8072.0,144260,0.0
444.0,목동,944625,1948125,24.84380978788299,8072.0,144260,0.09347368421052632
2490.0,목동,944625,1948375,139.32677110772218,8072.0,144260,0.5242105263157896
1835.0,목동,944625,1948625,102.67655621793983,8072.0,144260,0.3863157894736842
1869.0,목동,944625,1948875,104.57901012061556,8072.0,144260,0.39347368421052636
1354.0,목동,944625,1949125,75.76242894773326,8072.0,144260,0.2850526315789474
2504.0,목동,944625,1949375,140.11013447941218,8072.0,144260,0.5271578947368422
2774.0,목동,944625,1949625,155.2178566477194,8072.0,144260,0.5840000000000001
1144.0,목동,944625,1949875,64.0119783723832,8072.0,144260,0.2408421052631579
,,944875,1945625,0.0,0.0,0,0.0
,,944875,1945875,0.0,0.0,0,0.0
,신정동,944875,1946125,0.0,9116.0,164700,0.0
2997.0,신정동,944875,1946375,165.88131147540983,9116.0,164700,0.6241207551364724
3126.0,신정동,944875,1946625,173.02134790528234,9116.0,164700,0.6509848116638681
3317.0,신정동,944875,1946875,183.59302975106252,9116.0,164700,0.6907602752044306
2902.0,신정동,944875,1947125,160.62314511232543,9116.0,164700,0.6043371476162972
1802.0,목동,944875,1947375,100.8300568418134,8072.0,144260,0.37936842105263163
436.0,목동,944875,1947625,24.3961735754887,8072.0,144260,0.09178947368421052
1683.0,목동,944875,1947875,94.17146818244836,8072.0,144260,0.35431578947368425
956.0,목동,944875,1948125,53.49252738111743,8072.0,144260,0.20126315789473687
1256.0,목동,944875,1948375,70.27888534590323,8072.0,144260,0.26442105263157895
1035.0,목동,944875,1948625,57.91293497851103,8072.0,144260,0.2178947368421053
2004.0,목동,944875,1948875,112.13287120476916,8072.0,144260,0.42189473684210527
1681.0,목동,944875,1949125,94.05955912934978,8072.0,144260,0.35389473684210526
1229.0,목동,944875,1949375,68.7681131290725,8072.0,144260,0.25873684210526315
2077.0,목동,944875,1949625,116.21755164286704,8072.0,144260,0.4372631578947368
1438.0,목동,944875,1949875,80.46260917787329,8072.0,144260,0.3027368421052632
,,945125,1946125,0.0,0.0,0,0.0
,,945125,1946375,0.0,0.0,0,0.0
,,945125,1946625,0.0,0.0,0,0.0
,,945125,1946875,0.0,0.0,0,0.0
1159.0,신정동,945125,1947125,64.14962962962963,9116.0,164700,0.24136001174613664
451.0,,945125,1947375,0.0,0.0,0,0.0
